date, minute, open, low, high, close, volume
2025-01-02,630,582.3250,581.5200,582.3250,581.5620,67219.00
2025-01-02,631,581.5100,580.7500,581.5200,580.8300,139590.00
2025-01-02,632,580.8550,580.7501,581.0000,580.9200,90814.00
2025-01-02,633,580.9150,580.7501,581.2500,581.1700,59889.00
2025-01-02,634,581.1400,580.8601,581.2700,580.9213,47570.00
2025-01-02,635,580.9500,580.8100,581.2300,581.1100,55563.00
2025-01-02,636,581.1000,581.0800,581.8500,581.7600,123906.00
2025-01-02,637,581.7900,581.7200,582.0400,581.8900,82933.00
2025-01-02,638,581.9000,581.2900,581.9600,581.3600,100106.00
2025-01-02,639,581.3300,581.3100,581.5100,581.3400,77105.00
2025-01-02,640,581.3200,581.0100,581.3500,581.0500,78193.00
2025-01-02,641,581.0500,580.8850,581.3450,581.2100,79263.00
2025-01-02,642,581.2900,581.0400,581.3100,581.1400,61844.00
2025-01-02,643,581.1400,581.1200,581.9800,581.7700,136648.00
2025-01-02,644,581.7600,581.7500,582.3800,582.3200,247158.00
2025-01-02,645,582.2695,581.8100,582.3000,581.9500,90357.00
2025-01-02,646,581.9700,581.7900,582.1400,581.9400,78129.00
2025-01-02,647,581.9300,581.6900,582.0500,581.8100,62095.00
2025-01-02,648,581.8200,581.0300,581.8800,581.0600,48393.00
2025-01-02,649,581.0600,580.9900,581.3400,581.2700,109965.00
2025-01-02,650,581.2900,581.0800,581.4300,581.1400,59010.00
2025-01-02,651,581.1700,581.0400,581.3400,581.1200,49424.00
2025-01-02,652,581.0700,580.7300,581.2200,580.8600,72209.00
2025-01-02,653,580.8300,580.7300,581.1100,580.8700,109216.00
2025-01-02,654,580.8700,580.5000,580.8700,580.6900,105006.00
2025-01-02,655,580.6850,580.6850,581.2200,581.1000,107597.00
2025-01-02,656,581.0950,580.9617,581.3216,581.1750,82321.00
2025-01-02,657,581.1700,581.0900,581.5100,581.3500,59690.00
2025-01-02,658,581.3500,581.3500,581.7900,581.6900,56898.00
2025-01-02,659,581.6700,581.6600,582.0000,581.9000,87345.00
2025-01-02,660,581.9000,581.6100,582.0300,581.7300,71395.00
2025-01-02,661,581.6800,581.5400,581.8500,581.5400,55473.00
2025-01-02,662,581.5600,581.4100,581.7000,581.6800,84146.00
2025-01-02,663,581.7300,581.7300,582.2200,581.9931,104910.00
2025-01-02,664,582.0200,581.9900,582.6100,582.5500,134253.00
2025-01-02,665,582.5250,582.3800,582.6493,582.4600,59183.00
2025-01-02,666,582.4200,582.3100,583.0000,582.9200,128388.00
2025-01-02,667,582.9200,582.3900,583.0900,582.4600,73353.00
2025-01-02,668,582.4600,582.2700,582.5500,582.3000,73238.00
2025-01-02,669,582.3200,581.9800,582.3800,582.3300,70959.00
2025-01-02,670,582.3500,582.2100,582.4600,582.4000,58846.00
2025-01-02,671,582.4000,582.3200,582.6100,582.3503,57345.00
2025-01-02,672,582.3700,582.1672,582.4200,582.2850,50440.00
2025-01-02,673,582.2900,581.9800,582.3300,582.0800,64720.00
2025-01-02,674,582.0800,582.0500,582.3000,582.0899,29441.00
2025-01-02,675,582.0700,582.0400,582.3300,582.2000,69985.00
2025-01-02,676,582.2100,581.9000,582.3449,582.0900,57363.00
2025-01-02,677,582.0700,582.0200,582.4600,582.3100,40665.00
